지점명,주소,위도,경도
올림픽훼미리,서울특별시 송파구 중대로 68 (문정동),37.491626,127.116308
올림픽공원남문,서울특별시 송파구 위례성대로 102 (방이동),37.5133,127.123113
방이역,"서울특별시 송파구 마천로 53, 1~2층 (오금동)",37.508666,127.126569
석촌호수,서울특별시 송파구 석촌호수로 262 (송파동),37.509581,127.104993
잠실푸르지오월드,"서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)",37.517649,127.103426
잠실새내역,서울특별시 송파구 올림픽로 96 (잠실동),37.511679,127.081062
잠실역,"서울특별시 송파구 송파대로 562, 한빛프라자 1층, 2층 (신천동)",37.515272,127.099231
갤러리아팰리스,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)",37.51108365,127.0938059
아시아선수촌,서울특별시 송파구 백제고분로 69 (잠실동),37.510590,127.079047
올림픽아파트,서울특별시 송파구 양재대로 1222 (방이동),37.515315,127.133237
가락본동,서울특별시 송파구 송파대로30길 13 (가락동),37.494895,127.118785
석촌역,"서울특별시 송파구 백제고분로 358, 1층 (석촌동)",37.5042626,127.10610769999994
가락시장역,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)",37.494299,127.121354
가든파이브,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴,37.4782316,127.11937030000001
몽촌토성역,서울특별시 송파구 위례성대로 6 ,37.516913,127.113127
송파마천사거리DT,서울특별시 송파구 거마로 78 (마천동),37.499829,127.147672
목동파리공원,서울특별시 양천구 목동동로 377 (목동),37.535336,126.878852
등촌역,서울특별시 양천구 공항대로 566 (목동) 1층 2층,37.548884,126.868070
목동행복한,서울특별시 양천구 목동동로 309 (목동),37.529147,126.876099
신정DT,서울특별시 양천구 신월로 341 (신정동),37.521993,126.858865
